##########  Generation 1  ##########

26)  3.175E-4  |  MJGCJGBFLJLABHPPGOKENJMBCKPILOCNFOKKDOJG
27)  3.4210525E-4  |  MJGCJGBFLJLABHPPGOGEAGHOIKPILOCNFOKKDOJG
28)  2.8421052E-4  |  JDKDAFCLBAELCAGBNMKEAPJLIKPILHMGLHNKFLHD
29)  2.7249998E-4  |  ADKLFGJKDPCHEHPPGOGEAGHOIKPILJMGLHNKMHGF
30)  2.6176468E-4  |  KDCMDGJKDPCHEMBMGHCEDCGOAHJOELHADFGICILP
Generation 7 Average Fitness: 2.8257826E-4

##########  Generation 8  ##########

1)  3.3333333E-4  |  MJGCJGBFLJLAMHMLKNMKLLOOIKPILOCNFOKKDOJG
2)  2.8947368E-4  |  ANOLFGJKDPCHEMBMNHGOOCCLIKPILHMGLHNKMHGF
3)  2.8947368E-4  |  ANOGFMKAPPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
4)  3.7750002E-4  |  ANOLFLEKPLPBPPKIFHCEDCCLCBCOAGLJHJGAFLHD
5)  2.7380954E-4  |  KKACJABFLGKJGDBMFHCEDCCLCBCOAGLJHFGKDOJG
6)  3.475E-4  |  MJGCJGBFLJLABMBMGHGEAGHOIKPILOCNFOKKDOJG
7)  3.095238E-4  |  ANOLFGJFLJCHEMKLKOGEAGHOIKPILHMGLHNKMHGF
8)  3.047619E-4  |  JDKDAGJKBEELCPKIGHCEDCCLCBCOAGLJHJGAFLHD
9)  3.5526315E-4  |  JDKDAFCLBAELCPKIGHCEDCCLCBCOAGLJHJGAFLHD
10)  3.175E-4  |  MJGCJGBFLJLABHPPGOKENJMBCKPILOCNFOKKDOJG
11)  2.8333333E-4  |  ANOLFGJFLJLABMBMGHCEDCHOIKPILHMGLHNKMHGF
12)  3.631579E-4  |  ANOLFGJFLJLABMPPGOGEAGHOIKPILHMGLHNKMHGF
13)  3.095238E-4  |  ANOLFLJFLJLAPPKIFLIKIGHOIKPILHMGLHNKMHGF
14)  2.9375E-4  |  ANOLFGJKDPCHEMBMGHCEDCCLIKPILHMGLHNKMHGF
15)  3.4210525E-4  |  MJGCJGBFLJLABHPPGOGEAGHOIKPILOCNFOKKDOJG
16)  2.7631578E-4  |  ANOLFGJKOKPNCAGBNMKGNJMBCBCOAGLJHJGAFLHD
17)  2.3333332E-5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
18)  2.1470588E-4  |  KKACJABFLGKJGDBMGLIBEHEKLNCDCOCNFOKKDOJG
19)  3.4473685E-4  |  ANOLFGJFLJLABMPPGOGEAKEIIKPILHMGLHNKMHGF
20)  2.8421052E-4  |  JDKDAFCLBAELCAGBNMKEAPJLIKPILHMGLHNKFLHD
21)  3.1874998E-4  |  ANOLFGJKDPLABMPPGOGEAKEIIKPILHMGLHNKMHGF
22)  2.75E-4  |  JDKDAFCEHBFCEAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  2.625E-4  |  ANOLFGJFLJCCBMPPGOGEAKEIIKPILHMGLHNKMHGF
24)  3.047619E-4  |  ANOLFGJFLJLABMPPGOGEAKEIIKPILHMGLHNKMHGF
25)  2.7249998E-4  |  ADKLFGJKDPCHEHPPGOGEAGHOIKPILJMGLHNKMHGF
26)  2.2058823E-4  |  KEECILEKPLPBEHPPGOGEAGHOIKPILHJHFMIOFPBO
27)  2.8888887E-4  |  ANOLFGJKDPCHEMBMGHCEDCCLIKPILHMGLHNKMHGF
28)  3.3888887E-4  |  ANOLFGJFLJLABMPPGOGEAKEIIKPILHMGLHNKMHGF
29)  2.9761906E-4  |  ANOLFGJKDPCHEMBMFHCEDCCLCBCOAGLJHJGAFLHD
30)  2.6176468E-4  |  KDCMDGJKDPCHEMBMGHCEDCGOAHJOELHADFGICILP
Generation 8 Average Fitness: 2.9248575E-4

##########  Generation 9  ##########

1)  3.7045454E-4  |  MJGCJGBFLJLABMBMGHGEAGHOIKPILOCNFOKKDOJG
2)  3.095238E-4  |  ANOLFGJFLJCHEMKLKOGEAGHOIKPILHMGLHNKMHGF
3)  3.1136363E-4  |  ANOLFGJFLJLABPKIFLIKIGHOIKPILHMGLHNKMHGF
4)  3.4772727E-4  |  ANOLFLJFLJLABMPPGOGEAGHOIKPILHMGLHNKMHGF
5)  2.7249998E-4  |  ADKLFGJKDPCHEHPPGOGEAGHOIKPILJMGLHNKMHGF
6)  2.8947368E-4  |  ANOLFGJKDPCHEMBMNHGOOCCLIKPILHMGLHNKMHGF
7)  3.047619E-4  |  JDKDAGJKBEELCPKIGHCEDCCLCBCOAGLJHJGAFLHD
8)  2.9375E-4  |  ANOLFGJKDPCHEMBMGHCEDCCLIKPILHMGLHNKMHGF
9)  2.8421052E-4  |  JDKDAFCLBAELCAGBNMKEAPJLIKPILHMGLHNKFLHD
10)  2.2058823E-4  |  KEECILEKPLPBEHPPGOGEAGHOIKPILHJHFMIOFPBO
11)  2.8947368E-4  |  ANOGFMKAPPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
12)  3.5526315E-4  |  JDKDAFCLBAELCPKIGHCEDCCLCBCOAGLJHJGAFLHD
13)  3.4210525E-4  |  MJGCJGBFLJLABHPPGOGEAGHOIKPILOCNFOKKDOJG
14)  3.1874998E-4  |  ANOLFGJKDPLABMPPGOGEAKEIIKPILHMGLHNKMHGF
15)  2.9772727E-4  |  ANOLFGJFLJLABMPMGHCEDCCLIKPILHMGLHNKMHGF
16)  3.7750002E-4  |  ANOLFLEKPLPBPPKIFHCEDCCLCBCOAGLJHJGAFLHD
17)  3.175E-4  |  MJGCJGBFLJLABHPPGOKENJMBCKPILOCNFOKKDOJG
18)  2.7631578E-4  |  ANOLFGJKOKPNCAGBNMKGNJMBCBCOAGLJHJGAFLHD
