##########  Generation 1  ##########

21)  10.3  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
22)  1.6  |  HMLIIKHLBNJEHNLNNKFFFDDMJBGPEOJBIKOKFHPG
23)  18.6  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
24)  6.9  |  KDAAJGDBEMCALMOAMBPBCJJFMALNEKGHIDKIMALF
25)  16.4  |  FGBCHFGBEMCALGJCLHEEMCLJKJCGCFLHDGJDAJLE
26)  11.5  |  KDAAJGDBEMCALMEAMLOGOANGLKPBPELBPPDIMALF
27)  11.6  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
28)  17.1  |  FGBCHFGFEIOFKPACJHEEMCLJKJCGCFLHDGJDAJLE
29)  20.3  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
30)  21.0  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
Generation 8 Average Fitness: 12.33

##########  Generation 9  ##########

1)  19.2  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
2)  12.3  |  FGBCHFGFEIEFNGMPHDEEMCLJKJCGCFLHDGJDAJLE
3)  18.0  |  FGBCHFGFEIEFNGJCLFFCOBKJKJCGCFLHDGJDAJLE
4)  18.9  |  FGBCHFGFEIEFNGJCLFFCOBKJKJCGCFLHDGJDAJLE
5)  22.4  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
6)  20.2  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
7)  10.1  |  GHOPEKMEKHEKFOEIMFMEIOLFMALNEKGHIDKIMALF
8)  8.5  |  KDAAJGDBEMCALMECMKHNFNMIJOBKPELBPPDIMALF
9)  12.8  |  FGBCHFGMGFEJPGHEIFFFEBIPKJCGCFLHDGJDAJLE
10)  18.3  |  FGBCHFGFEIEFNGJCLFFCOBKJKJCGCFLHDGJDAJLE
11)  15.8  |  FGBCHFGFEIEJPGHEIJMAKCKJKJCGCFLHDGJDAJLE
12)  3.9  |  BOONAKELMCOPCAJHICAPBNOPOLJFBCFDPLMHLIDG
13)  12.0  |  GHOPEKMLEMEMJJEIMFMEIOLFMALNEKGHIDKIMALF
14)  0.2  |  ODFPGMPHNHPGODGFLPNDIBFONDOBDPBPCHIOIALD
15)  2.3  |  FOFBBIGGDAHKKKBJMKHFEBIPAFPALBLMDLEIIOPA
16)  0.9  |  NCMDJBBOMPECHCDNFNFMENJKILOAECDFCPPHKHKI
17)  20.2  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
18)  17.2  |  FGBCHFGFEIEJPGHKPNLAKCKJKJCGCFLHDGJDAJLE
19)  16.0  |  FGBCHFGBEMCALGJCLHEEMCLJKJCGCFLHDGJDAJLE
20)  14.0  |  KDAAJGDBEMCALGJCLFMNFNMIKJCGCFLHDGJDAJLE
21)  10.3  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
22)  1.6  |  HMLIIKHLBNJEHNLNNKFFFDDMJBGPEOJBIKOKFHPG
23)  21.0  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
24)  6.9  |  KDAAJGDBEMCALMOAMBPBCJJFMALNEKGHIDKIMALF
