##########  Generation 1  ##########

26)  20.6  |  CLOMDEMMPJLABMCGBMMKLLOCLLAJLJCDEHPIAADL
27)  19.1  |  CLOMDEMFLGMDEKGPNMKKLDFCLLAJLJCDEHPIAADL
28)  20.9  |  CLOMDEMMPGMDEMBMGHKKLDFCLLAJLJCDEHPIAADL
29)  20.4  |  CLOMDEMMPGMDEKGPNMKKLDFCLLAJLJCDEHPIAADL
30)  14.2  |  KDCOOLEEHBEABMBMGHCEDCCLGHJOELHADFGICILP
Generation 8 Average Fitness: 19.383335

##########  Generation 9  ##########

1)  21.5  |  CLOMDEMMPJLABMCGBMMKLLEOIKPILHMGLHNKMHGF
2)  21.0  |  CLOMDEMMPGMDEKGPGHGHDEEOIKPILHMGLHNKMHGF
3)  22.6  |  CLOMDEFMPGMDEKGPGHGHDEEOIKPILHMGLHNKMHGF
4)  16.8  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
5)  19.1  |  CLOMDEMMPGMDCKHAGOGEAGHOIKPILHMGLHNKMHGF
6)  18.5  |  ANOLOGJKDPCHEHPPGOGKLLOCLLAJLJCDEHPKMHGF
7)  18.3  |  CLOMDEMMPGMDEMBMGHKKLDFCLLAJLJCDLHNKMHGF
8)  21.5  |  ANOLOGJKDPCHEHPPGOGEDCCLGKPILHMGLHNKMHGF
9)  19.9  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
10)  20.6  |  CLOMDEMMPJLABMCGBMMKLLOCLLAJLJCDEHPIAADL
11)  20.9  |  CLOMDEMMPGMDEMBMGHKKLDFCLLAJLJCDEHPIAADL
12)  20.4  |  CLKDAFJMPGMDEMBMGHKKLDFCLLAJLHMGLHNKMHGF
13)  19.5  |  KJGMJJGFLECHEHPPGOGEAGHOGFBACOCNFOKKDOJG
14)  18.4  |  KJGMJJGFLECHEHPPGOGEDCCLGFBACOCNFOKKDOJG
15)  19.1  |  CLOMDEMFLGMDEKGPNMKKLDFCLLAJLJCDEHPIAADL
16)  18.6  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
17)  20.1  |  CLOMDEMMPJLAEMCGBMMKLLOCLLAJLJCDEHPIAADL
18)  21.1  |  CLOMDEMMPGMDEKGPGOGEAGHOIKPILHMGLHNKMHGF
19)  21.7  |  CLOLFFFPLMMHACAAGOGEAGHOIKPILHMGLHNKMHGF
20)  21.2  |  CLOMDEMMPGMDEMBMGHKKLDFCLLAJLJCDEHPIAADL
21)  21.5  |  KJGMJJGFLEFABMBMGHCEDCCLGKPICOCNFOKKDOJG
22)  21.2  |  CLOMDEMMPGMDEKGPGOGEAGHOIKPILHMGLHNKMHGF
23)  21.5  |  CLOMDEMMPGMDEKGPGOGEAGHOIKPILHMGLHNKMHGF
24)  20.4  |  CLOMDEMMPGMDEKGPGHCHDEEOIKPILHMGLHNKMHGF
25)  20.4  |  CLOMDEMMPGMDEKGPNMKKLDFCLLAJLJCDEHPIAADL
26)  18.6  |  CLOMDEMMPJLAAMCGBMMKLLOCLLAJLJCDEHPIAADL
27)  22.1  |  CLOMDEMMPGMDEKGPGHCHDEEOIKPILHMGLHNKMHGF
28)  19.0  |  ANOLFGJKDPCABMBMGHCEAGHOIKPILHMGLHNKMHGF
29)  19.2  |  ANOLFEMMPJLABMCGBMKKLDFCIKPILHMGLHNKMHGF
30)  20.3  |  CLOMDEMMPGMDEKGPNMKEDCCLGHJOELHADFGICILP
Generation 9 Average Fitness: 20.166666

##########  Generation 10  ##########

1)  21.5  |  CLOMDEMMPJLABMCGBMMKLLEOIKPILHMGLHNKMHGF
2)  19.2  |  CLOMDEMMPGMDEMBMGHKKLDFCLLAJLJCDLHNKMHGF
3)  19.5  |  KJGMJJGFLECHEHPPGOGEAGHOGFBACOCNFOKKDOJG
4)  21.7  |  CLOLFFFPLMMHACAAGOGEAGHOIKPILHMGLHNKMHGF
5)  20.4  |  CLOMDEMMPGMDEKGPNMKKLDFCLLAJLJCDEHPIAADL
6)  23.3  |  CLOMDEFMPGMDEKGPGHGHDEEOIKPILHMGLHNKMHGF
7)  21.5  |  ANOLOGJKDPCHEHPPGOGEDCCLGKPILHMGLHNKMHGF
8)  20.4  |  KJGMJJGFLECHEHPPGOGEDCCLGKPILHMGLOKKDOJG
9)  21.2  |  CLOMDEMMPGMDEMBMGHKKLDFCLLAJLJCDEHPIAADL
