##########  Generation 1  ##########

25)  14.6  |  KJGLGCLEAGKJGMBMGHKGNJMBCBCOAGLJHJKKDOJG
26)  21.4  |  JDKDAFCFLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
27)  16.6  |  JDKDAFCEHBELCIEDCMAEAGHOIKPIAGLJHJGAFLHD
28)  19.3  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
29)  17.9  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
30)  17.0  |  KDCOOLEKLJLAKABGBMMKLLNLAHJOELHADFGICILP
Generation 7 Average Fitness: 17.846668

##########  Generation 8  ##########

1)  19.9  |  JDKLFGJKLJLAKABGFPGOBDFCLFBACOCNFOGAFLHD
2)  17.1  |  JDKLFGJKLJLADGAMNHKHFOALCBCOAGLJHJGAFLHD
3)  16.3  |  KJGLJABFLJLABMBMGDKHFOAEGKOCCOCNFOKKDOJG
4)  18.0  |  JDKCILEKPLPBEPKIGOGEAGHBCBCOAGLJHJGAFLHD
5)  14.6  |  KJGLGCLEAGKJGMBMGHKGNJMBCBCOAGLJHJKKDOJG
6)  23.2  |  JDKLFGJKLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
7)  20.8  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
8)  12.1  |  KJGLJABEHBEGCMHGBMNOIKLPCGECCOCNFOKKDOJG
9)  20.9  |  JDKDAFCFLJLAKABPGOGEAGHOCBCOAGLJHJGAFLHD
10)  21.6  |  JDKLFGJFLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
11)  22.4  |  JDKLFGJKLJLABMBGBMMKLLNLCBCOAGLJHJGAFLHD
12)  19.7  |  JDKLFGJKLGMDIMCGBMMKLLNLCBCOAGLJHJGAFLHD
13)  19.0  |  ANOLFGJKDPLAKABGFPGOBDFCLFBACOMGLHNKMHGF
14)  20.7  |  ANOLFGJKDPLAKABGFPGOBDFCLFBACOMGLHNKMHGF
15)  16.6  |  JDKDAFCEHBELCIEDCMAEAGHOIKPIAGLJHJGAFLHD
16)  23.0  |  JDKLFGJKLJLABMBMBMMKLLNLCBCOAGLJHJGAFLHD
17)  19.4  |  KJGLJABFLJLAKABGFPGOBDFCLFBACOCNFOKKDOJG
18)  17.6  |  KJGLJABFLJLAKABGBMGOBDFCLFBACOCNFOKKDOJG
19)  12.5  |  JDKDAFCFLJLAKACGBMMKDCCLGFBACOCNFJGAFLHD
20)  19.3  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
21)  20.5  |  JDKDAFCELJLAKABGFPGOBJMPPODAPJLJHJGAFLHD
22)  16.9  |  KJGLJABFLJLABMBIFLIKIGHOIKBACOCNFOKKDOJG
23)  18.5  |  KJGLJABFLJLAKABGBMGOBDFCLFBACOCNFOKKDOJG
24)  15.3  |  KJGLJABFMCHCOKBMGDKHFOAEGFBACOCNFOKKDOJG
25)  17.9  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
26)  19.3  |  KJGLJABFLJLAKABGFPGOBDFCLFBACOCNFOKKDOJG
27)  19.1  |  KJGLJABFLJLAKABGBMGOBDFCLFBACOCNFOKKDOJG
28)  16.4  |  KJGLJABFLJLABMBIFLIKKMLOIMMJGOCNFOKKDOJG
29)  15.2  |  KJGLJAILPGMDIMCMGHKGNJMBCBCOAGLJHJKKDOJG
30)  17.0  |  KDCOOLEKLJLAKABGBMMKLLNLAHJOELHADFGICILP
Generation 8 Average Fitness: 18.359999

##########  Generation 9  ##########

1)  21.9  |  JDKLFGJKLJLAKABGFMMKLLNLCBCOAGLJHJGAFLHD
2)  20.8  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
3)  19.0  |  ANOLFGJKDPLAKABGFPGOBDFCLFBACOMGLHNKMHGF
4)  18.1  |  JDKDAFCFLJLAKACGBMMHFOAEGFBACOCNFJGAFLHD
5)  17.9  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
6)  17.1  |  JDKLFGJKLJLADGAMNHKHFOALCBCOAGLJHJGAFLHD
7)  12.1  |  KJGLJABEHBEGCMHGBMNOIKLPCGECCOCNFOKKDOJG
8)  20.7  |  ANOLFGJKDPLAKABGFPGOBDFCLFBACOMGLHNKMHGF
9)  19.3  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
10)  19.3  |  KJGLJABFLJLAKABGFPGOBDFCLFBACOCNFOKKDOJG
11)  16.8  |  KJGDAFCFLJLAKABPGOKHFOAEGKOCCOCNFOKKDOJG
12)  21.9  |  JDKDAFCFLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
13)  20.9  |  JDKLFGJKLJELCMBMBMMKLLNLCBCOAGLJHJGAFLHD
14)  20.5  |  JDKDAFCELJLAKABGFPGOBJMPPODAPJLJHJGAFLHD
15)  22.3  |  KJGLJABFLJLAKABGBMGOBDFCLFBACOCNFOKKDOJG
16)  18.0  |  JDKCILEKPLPBEPKIGOGEAGHBCBCOAGLJHJGAFLHD
17)  21.6  |  JDKLFGJFLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
18)  23.0  |  JDKLFGJKLJLABMBMBMMKLLNLCBCOAGLJHJGAFLHD
19)  24.4  |  JDKLFGJKLJLABMBMBMMKLLNLCBCOAGLJHJGAFLHD
20)  19.4  |  KJGLJABFLJLABABGBMGOBDFCLFBAGOCNFOKKDOJG
21)  22.5  |  JDKLFGJKLJLAKABGGHKGNJMBCBCOAGLJHJGAFLHD
22)  22.4  |  JDKLFGJKLJLABMBGBMMKLLNLCBCOAGLJHJGAFLHD
23)  20.2  |  JDKLFGJKLJLAKABGFPGOBDFLCBCOAGLJHJGAFLHD
24)  20.4  |  KJGLJABFLJLAKABGFPGOBDFCLFBACOCNFOKKDOJG
25)  15.2  |  KJGLJAILPGMDIMCMGHKGNJMBCBCOAGLJHJKKDOJG
26)  23.2  |  JDKLFGJKLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
27)  21.0  |  JDKLFGJKLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
28)  20.7  |  JDKLFGJKLGMDIMCGBMMKLLNLCBCOAGLJHJGAFLHD
29)  15.3  |  KJGLJABFMCHCOKBMGDKHFOAEGFBACOCNFOKKDOJG
30)  17.0  |  KDCOOLEKLJLAKABGBMMKLLNLAHJOELHADFGICILP
Generation 9 Average Fitness: 19.763332

##########  Generation 10  ##########

1)  21.9  |  JDKLFGJKLJLAKABGFMMKLLNLCBCOAGLJHJGAFLHD
2)  15.9  |  JDKLFGBEHBEGCMHGBMNOIKNLCBCOAGLJHJGAFLHD
3)  24.1  |  JDKLFGJKLJLABMBMBMMKLLNLCBCOAGLJHJGAFLHD
4)  24.4  |  JDKLFGJKLJLABMBMBMMKLLNLCBCOAGLJHJGAFLHD
5)  15.2  |  KJGLJAILPGMDIMCMGHKGNJMBCBCOAGLJHJKKDOJG
6)  20.8  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
7)  20.7  |  ANOLFGJKDPLAKABGFPGOBDFCLFBACOMGLHNKMHGF
8)  20.5  |  JDKDAFCELJLAKABGFPGOBJMPPODAPJLJHJGAFLHD
9)  19.8  |  JDKLFGBFLJLABABGBMGOBDNLCBCOAGLJHJGAFLHD
10)  23.2  |  JDKLFGJKLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
11)  21.4  |  JDKLFGJKLPLAKABGFPGOBDFCLFCOAGLJHJGAFLHD
12)  19.3  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
13)  22.3  |  KJGLJABFLJLAKABGBMGOBDFCLFBACOCNFOKKDOJG
